date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m,precipitation,wind_speed_10m,surface_pressure
2018-01-01,26.083895,32.9,21.75,72.34585,0.0,7.1684585,1008.0329
2018-01-02,25.479166,32.8,20.55,72.37124,0.0,6.494144,1007.3967
2018-01-03,25.372917,33.05,20.25,65.714165,0.0,6.978639,1008.3022
2018-01-04,25.439583,33.15,20.45,57.21645,0.0,8.467377,1009.48737
2018-01-05,24.704168,31.45,19.25,58.310604,0.0,7.3796353,1009.698
2018-01-06,24.7875,30.25,20.35,79.161606,0.0,7.981483,1009.0918
2018-01-07,26.25,30.9,22.45,83.87189,0.0,8.668791,1008.6335
2018-01-08,26.510416,30.9,23.3,85.86407,0.1,7.9858937,1009.28394
2018-01-09,26.63125,30.85,24.05,85.19555,0.0,8.308572,1009.314
2018-01-10,26.606249,29.8,24.35,85.273674,0.7,8.8672905,1009.3845
2018-01-11,26.833334,30.95,24.0,83.841644,0.1,9.1124935,1008.7128
2018-01-12,26.71875,31.15,24.05,85.1515,0.0,9.880076,1008.7119
2018-01-13,26.552084,31.0,24.05,84.69981,0.1,8.420624,1008.1577
2018-01-14,26.929167,31.9,24.25,82.158554,0.1,8.085369,1008.2354
2018-01-15,26.720833,30.2,24.2,85.346245,1.0,8.703211,1008.7493
2018-01-16,27.177084,31.0,24.0,84.21445,0.0,9.526679,1008.8401
2018-01-17,27.30625,31.5,24.6,83.73172,0.1,10.01448,1007.9681
2018-01-18,27.316666,31.5,24.65,84.82837,0.0,9.164965,1007.7935
2018-01-19,27.241667,31.45,24.55,84.51223,0.0,9.811296,1008.0591
2018-01-20,27.264582,30.35,25.2,85.91599,2.0,10.446292,1007.61035
2018-01-21,27.479166,31.15,25.35,84.406136,0.8,8.48529,1007.5911
2018-01-22,27.512499,32.4,25.2,83.49663,0.1,8.497056,1007.3669
2018-01-23,27.375,31.85,24.7,81.92777,0.1,8.601081,1007.63184
2018-01-24,27.31875,31.2,24.75,84.08545,0.3,7.9075675,1007.2573
2018-01-25,27.270834,31.95,24.65,81.1285,0.0,7.0053277,1007.29425
2018-01-26,26.752083,31.65,24.0,81.77083,0.0,8.598673,1006.8913
2018-01-27,26.902084,31.95,23.95,82.89833,0.0,8.47306,1006.6181
2018-01-28,27.25,31.6,24.4,82.578514,0.0,9.491459,1006.5999
2018-01-29,27.445833,31.45,24.85,84.59098,0.0,8.955148,1007.3289
2018-01-30,27.710417,32.95,24.85,83.126686,0.2,7.343904,1007.1397
2018-01-31,27.739584,32.95,25.1,83.53899,0.0,7.497743,1005.6807
2018-02-01,27.741667,31.8,25.05,84.3443,0.0,9.284811,1005.55194
2018-02-02,28.022917,31.85,25.9,83.15882,0.5,10.217965,1005.8742
2018-02-03,27.997917,31.7,25.5,83.50476,0.0,9.452862,1005.99457
2018-02-04,27.970833,31.85,25.5,84.843376,0.0,10.632289,1005.12964
2018-02-05,28.347916,31.8,25.95,83.33989,0.0,12.952535,1005.16156
2018-02-06,28.4625,31.5,26.65,83.39169,0.1,14.017505,1005.6364
2018-02-07,28.629166,31.4,26.85,82.16236,1.0,13.718415,1005.6377
2018-02-08,28.545832,31.25,26.65,82.858406,0.0,12.60809,1005.9655
